month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,CTR
April,1,camp 1,Medium,670 x 90,mno,1978,1.3976,13,2.3851,0,0.0,0.6572295247724975
April,1,camp 1,High,728 x 90,abc,20,0.0284,0,0.0,0,0.0,0.0
April,1,camp 1,High,728 x 90,def,77942,74.7667,410,75.1528,121,6710.2429,0.526032177773216
April,1,camp 1,High,728 x 90,ghi,221002,292.8014,3384,620.7497,1179,59726.9939,1.5312078623722862
April,1,camp 1,High,728 x 90,jkl,32546,13.5669,254,46.5936,93,5418.0655,0.7804338474774165
April,1,camp 1,High,728 x 90,mno,428642,424.0715,2961,543.1365,1239,57545.6564,0.6907862505307459
April,1,camp 1,Low,728 x 90,def,824,0.1407,4,0.7338,0,0.0,0.48543689320388345
April,1,camp 1,Low,728 x 90,ghi,366,0.4347,3,0.5504,0,0.0,0.819672131147541
April,1,camp 1,Low,728 x 90,jkl,149,0.06,0,0.0,0,0.0,0.0
April,1,camp 1,Low,728 x 90,mno,5689,1.099,10,1.8288,1,12.7891,0.17577781683951485
April,1,camp 1,Medium,728 x 90,abc,1,0.0015,0,0.0,0,0.0,0.0
April,1,camp 1,Medium,728 x 90,def,8165,3.8733,34,6.2381,1,72.0659,0.41641151255358233
April,1,camp 1,Medium,728 x 90,ghi,10611,13.1693,179,32.833,32,1587.3458,1.6869286589388373
April,1,camp 1,Medium,728 x 90,jkl,2741,1.1191,31,5.6876,2,85.7347,1.130974097044874
April,1,camp 1,Medium,728 x 90,mno,50040,23.4219,309,56.665,31,2749.2091,0.617505995203837
April,1,camp 1,High,800 x 250,mno,21,0.0235,1,0.1834,0,0.0,4.761904761904762
April,1,camp 1,Medium,800 x 250,mno,1,0.0017,0,0.0,0,0.0,0.0
April,1,camp 2,Low,160 x 600,def,6745,0.5595,21,0.8256,0,0.0,0.3113417346182357
April,1,camp 2,Low,160 x 600,ghi,99,0.1207,1,0.0393,0,0.0,1.0101010101010102
April,1,camp 2,Low,160 x 600,mno,50107,5.9831,367,14.427,3,66.5661,0.7324325942483086
April,1,camp 2,Medium,160 x 600,abc,7,0.0085,0,0.0,0,0.0,0.0
April,1,camp 2,Medium,160 x 600,def,22075,5.1608,321,12.6178,4,269.4696,1.4541336353340883
April,1,camp 2,Medium,160 x 600,ghi,2469,3.7891,58,2.2803,3,236.7731,2.349129202106116
April,1,camp 2,Medium,160 x 600,mno,181282,45.9527,3611,141.9534,56,2923.7718,1.991924184419854
April,1,camp 2,Low,240 x 400,def,12670,1.4582,51,2.0051,0,0.0,0.4025256511444357
April,1,camp 2,Low,240 x 400,ghi,23968,18.3079,574,22.5666,10,1003.2078,2.394859813084112
April,1,camp 2,Low,240 x 400,jkl,3706,1.6423,48,1.8871,0,0.0,1.2951969778737182
April,1,camp 2,Low,240 x 400,mno,39787,4.5533,209,8.2163,0,0.0,0.525297207630633
April,1,camp 2,Medium,240 x 400,def,64482,13.582,886,34.825,4,166.4344,1.3740268602090506
April,1,camp 2,Medium,240 x 400,ghi,214846,184.0818,10390,408.4178,146,12485.0212,4.836022080932389
April,1,camp 2,Medium,240 x 400,jkl,28666,13.0473,755,29.6727,18,916.0838,2.633782180980953
April,1,camp 2,Medium,240 x 400,mno,184116,61.6561,2720,106.9128,39,3724.3667,1.4773295096569554
April,1,camp 2,Low,300 x 250,abc,3,0.0061,1,0.0393,0,0.0,33.33333333333333
April,1,camp 2,Low,300 x 250,def,8682,1.497,44,1.7286,0,0.0,0.506795669200645
April,1,camp 2,Low,300 x 250,ghi,4354,2.6398,86,3.3786,2,141.2879,1.9751952227836471
April,1,camp 2,Low,300 x 250,jkl,128,0.072,0,0.0,0,0.0,0.0
April,1,camp 2,Low,300 x 250,mno,92429,9.1632,498,19.5742,1,12.9709,0.5387919375953435
April,1,camp 2,Medium,300 x 250,abc,11,0.017,0,0.0,0,0.0,0.0
April,1,camp 2,Medium,300 x 250,def,35227,14.1625,401,15.7612,14,839.2774,1.1383313935333694
April,1,camp 2,Medium,300 x 250,ghi,33570,20.8269,1426,56.0374,38,2771.717,4.247840333631219
April,1,camp 2,Medium,300 x 250,jkl,2324,1.318,19,0.747,0,0.0,0.8175559380378659
April,1,camp 2,Medium,300 x 250,mno,304259,73.5196,3328,130.8237,52,6350.6364,1.0938049490729937
April,1,camp 2,Low,468 x 60,def,273,0.0244,0,0.0,0,0.0,0.0
April,1,camp 2,Low,468 x 60,ghi,7,0.0027,0,0.0,0,0.0,0.0
April,1,camp 2,Low,468 x 60,mno,587,0.0259,2,0.0786,0,0.0,0.34071550255536626
April,1,camp 2,Medium,468 x 60,def,1324,0.2195,9,0.3538,0,0.0,0.6797583081570997
April,1,camp 2,Medium,468 x 60,ghi,159,0.0625,0,0.0,0,0.0,0.0
April,1,camp 2,Medium,468 x 60,jkl,4,0.0025,0,0.0,0,0.0,0.0
April,1,camp 2,Medium,468 x 60,mno,3094,0.2878,5,0.1965,0,0.0,0.16160310277957335
April,1,camp 2,Low,580 x 400,mno,12604,2.4409,245,9.6317,0,0.0,1.9438273563947954
April,1,camp 2,Medium,580 x 400,mno,46408,22.7809,1766,69.4187,18,1683.7638,3.8053783830374077
April,1,camp 2,Low,670 x 90,def,552,0.1107,3,0.1179,0,0.0,0.5434782608695652
April,1,camp 2,Low,670 x 90,ghi,371,0.2683,5,0.1965,0,0.0,1.3477088948787064
April,1,camp 2,Low,670 x 90,jkl,36,0.0253,0,0.0,0,0.0,0.0
April,1,camp 2,Low,670 x 90,mno,4624,0.2915,24,0.9435,0,0.0,0.5190311418685121
April,1,camp 2,Medium,670 x 90,def,3957,1.6338,40,1.572,0,0.0,1.0108668182966896
April,1,camp 2,Medium,670 x 90,ghi,6501,4.9835,102,4.0095,5,359.4609,1.5689893862482696
April,1,camp 2,Medium,670 x 90,jkl,449,0.3253,13,0.5104,0,0.0,2.89532293986637
April,1,camp 2,Medium,670 x 90,mno,19507,3.8768,252,9.9063,6,253.8565,1.2918439534526067
April,1,camp 2,Low,728 x 90,def,12328,1.6025,74,2.9093,1,22.7769,0.600259571706684
April,1,camp 2,Low,728 x 90,ghi,2999,3.1095,37,1.454,1,11.7896,1.2337445815271757
April,1,camp 2,Low,728 x 90,jkl,1380,0.5564,13,0.5111,0,0.0,0.9420289855072465
April,1,camp 2,Low,728 x 90,mno,108130,9.4151,666,26.178,5,523.5354,0.6159252751317859
April,1,camp 2,Medium,728 x 90,abc,7,0.0117,0,0.0,0,0.0,0.0
April,1,camp 2,Medium,728 x 90,def,59277,15.2085,722,28.3712,8,930.7221,1.2180103581490291
April,1,camp 2,Medium,728 x 90,ghi,55588,63.9296,1515,59.5549,53,3942.6278,2.725408361516874
April,1,camp 2,Medium,728 x 90,jkl,13955,6.0226,228,8.9633,10,1160.8372,1.6338230025080618
April,1,camp 2,Medium,728 x 90,mno,390929,79.3017,5323,209.2502,63,38386.9424,1.3616283263712847
April,1,camp 2,Medium,800 x 250,mno,28,0.0112,2,0.0786,0,0.0,7.142857142857142
April,1,camp 3,High,160 x 600,def,2366,0.5795,4,0.2096,0,0.0,0.16906170752324598
April,1,camp 3,High,160 x 600,ghi,23,0.027,0,0.0,0,0.0,0.0
April,1,camp 3,High,160 x 600,mno,22167,5.018,50,2.621,1,532.0745,0.22556051788694909
April,1,camp 3,Low,160 x 600,abc,7,0.0093,0,0.0,0,0.0,0.0
April,1,camp 3,Low,160 x 600,def,11834,0.6988,21,1.1008,0,0.0,0.17745479127936453
April,1,camp 3,Low,160 x 600,ghi,35,0.046,0,0.0,0,0.0,0.0
April,1,camp 3,Low,160 x 600,mno,41489,2.2941,167,8.7543,0,0.0,0.4025163296295404
April,1,camp 3,Medium,160 x 600,abc,5,0.0064,0,0.0,0,0.0,0.0
April,1,camp 3,Medium,160 x 600,def,17057,1.4853,51,2.6734,1,9.6979,0.298997479040863
April,1,camp 3,Medium,160 x 600,ghi,54,0.0723,1,0.0524,0,0.0,1.8518518518518516
April,1,camp 3,Medium,160 x 600,mno,82918,8.5739,533,27.9399,13,1195.3097,0.6428037338093056
April,1,camp 3,High,240 x 400,def,7325,1.5326,13,0.6814,1,128.4186,0.17747440273037543
April,1,camp 3,High,240 x 400,ghi,9037,7.402,67,3.5122,2,458.0165,0.7413964811331194
April,1,camp 3,High,240 x 400,jkl,5524,2.4892,33,1.729,4,145.7912,0.5973931933381608
April,1,camp 3,High,240 x 400,mno,25346,8.8753,62,3.2475,9,446.8068,0.24461453483784423
April,1,camp 3,Low,240 x 400,def,9414,0.7765,17,0.8911,0,0.0,0.18058211174845973
April,1,camp 3,Low,240 x 400,ghi,3810,2.6574,31,1.6242,0,0.0,0.8136482939632546
April,1,camp 3,Low,240 x 400,jkl,459,0.1932,8,0.4193,0,0.0,1.7429193899782136
April,1,camp 3,Low,240 x 400,mno,24730,0.6839,34,1.7823,0,0.0,0.137484836231298
April,1,camp 3,Medium,240 x 400,def,26007,2.7446,86,4.5065,0,0.0,0.3306802014842158
April,1,camp 3,Medium,240 x 400,ghi,17962,13.865,315,16.5126,3,339.5186,1.7537022603273575
April,1,camp 3,Medium,240 x 400,jkl,4265,1.8812,61,3.1976,0,0.0,1.4302461899179366
April,1,camp 3,Medium,240 x 400,mno,59998,4.4489,180,9.4358,2,201.9655,0.30001000033334446
April,1,camp 3,High,300 x 250,def,4967,1.7042,19,0.996,0,0.0,0.38252466277431046
April,1,camp 3,High,300 x 250,ghi,1273,0.7603,13,0.6814,0,0.0,1.021209740769835
April,1,camp 3,High,300 x 250,jkl,293,0.1758,1,0.0524,0,0.0,0.3412969283276451
April,1,camp 3,High,300 x 250,mno,30737,8.1757,94,4.9267,7,768.5861,0.3058203468132869
April,1,camp 3,Low,300 x 250,abc,1,0.0025,0,0.0,0,0.0,0.0
April,1,camp 3,Low,300 x 250,def,12292,0.9557,63,3.3016,0,0.0,0.5125284738041003
April,1,camp 3,Low,300 x 250,ghi,831,0.4489,9,0.4717,0,0.0,1.083032490974729
April,1,camp 3,Low,300 x 250,jkl,3,0.0011,0,0.0,0,0.0,0.0
April,1,camp 3,Low,300 x 250,mno,66100,2.7654,118,6.184,7,463.3167,0.17851739788199697
April,1,camp 3,Medium,300 x 250,abc,4,0.008,1,0.0524,0,0.0,25.0
April,1,camp 3,Medium,300 x 250,def,21214,2.9495,126,6.6036,1,3.9307,0.5939473932308852
April,1,camp 3,Medium,300 x 250,ghi,2866,1.5827,69,3.6153,0,0.0,2.407536636427076
April,1,camp 3,Medium,300 x 250,jkl,44,0.0227,1,0.0524,0,0.0,2.272727272727273
April,1,camp 3,Medium,300 x 250,mno,116957,9.17,418,21.9095,3,216.6186,0.357396308044837
April,1,camp 3,High,468 x 60,def,111,0.0177,0,0.0,0,0.0,0.0
April,1,camp 3,High,468 x 60,ghi,1,0.0003,0,0.0,0,0.0,0.0
April,1,camp 3,High,468 x 60,mno,330,0.0217,0,0.0,0,0.0,0.0
April,1,camp 3,Low,468 x 60,def,210,0.0141,0,0.0,0,0.0,0.0
April,1,camp 3,Low,468 x 60,ghi,4,0.0015,0,0.0,0,0.0,0.0
April,1,camp 3,Low,468 x 60,mno,363,0.0036,0,0.0,0,0.0,0.0
April,1,camp 3,Medium,468 x 60,def,421,0.0278,3,0.1572,0,0.0,0.7125890736342043
April,1,camp 3,Medium,468 x 60,ghi,7,0.0027,0,0.0,0,0.0,0.0
April,1,camp 3,Medium,468 x 60,mno,893,0.0148,1,0.0524,0,0.0,0.11198208286674133
April,1,camp 3,High,580 x 400,mno,7540,3.1057,32,1.6769,0,0.0,0.42440318302387264
April,1,camp 3,Low,580 x 400,mno,10045,0.752,73,3.8267,0,0.0,0.7267297162767545
April,1,camp 3,Medium,580 x 400,mno,23157,3.0873,248,12.9996,1,66.9636,1.07095046854083
April,1,camp 3,High,670 x 90,def,485,0.1478,0,0.0,0,0.0,0.0
April,1,camp 3,High,670 x 90,ghi,115,0.0928,1,0.0524,0,0.0,0.8695652173913043
April,1,camp 3,High,670 x 90,jkl,28,0.0178,0,0.0,0,0.0,0.0
April,1,camp 3,High,670 x 90,mno,1978,0.3535,2,0.1048,0,0.0,0.10111223458038424
April,1,camp 3,Low,670 x 90,def,368,0.0392,3,0.1572,0,0.0,0.8152173913043478
April,1,camp 3,Low,670 x 90,ghi,44,0.0411,0,0.0,0,0.0,0.0
April,1,camp 3,Low,670 x 90,jkl,5,0.0026,0,0.0,0,0.0,0.0
April,1,camp 3,Low,670 x 90,mno,2852,0.0522,8,0.4193,0,0.0,0.2805049088359046
April,1,camp 3,Medium,670 x 90,def,2313,0.3211,8,0.4193,0,0.0,0.34587116299178555
April,1,camp 3,Medium,670 x 90,ghi,146,0.1441,1,0.0524,0,0.0,0.684931506849315
April,1,camp 3,Medium,670 x 90,jkl,78,0.0445,2,0.1048,0,0.0,2.564102564102564
April,1,camp 3,Medium,670 x 90,mno,7479,0.2922,5,0.2612,0,0.0,0.06685385746757588
April,1,camp 3,High,728 x 90,def,7601,1.6849,23,1.2056,1,185.3349,0.30259176424154716
April,1,camp 3,High,728 x 90,ghi,1274,1.4142,7,0.3669,0,0.0,0.5494505494505495
April,1,camp 3,High,728 x 90,jkl,1960,0.7769,8,0.4193,0,0.0,0.40816326530612246
April,1,camp 3,High,728 x 90,mno,37014,7.8852,105,5.5033,9,462.9524,0.2836764467498784
April,1,camp 3,Low,728 x 90,abc,2,0.0021,0,0.0,0,0.0,0.0
April,1,camp 3,Low,728 x 90,def,12477,1.1348,63,3.2986,0,0.0,0.5049290694878577
April,1,camp 3,Low,728 x 90,ghi,550,0.5864,4,0.2096,0,0.0,0.7272727272727273
April,1,camp 3,Low,728 x 90,jkl,150,0.0445,0,0.0,0,0.0,0.0
April,1,camp 3,Low,728 x 90,mno,91468,3.836,316,16.5625,2,561.1487,0.34547601346919143
April,1,camp 3,Medium,728 x 90,abc,2,0.003,0,0.0,0,0.0,0.0
April,1,camp 3,Medium,728 x 90,def,29216,3.4209,146,7.6526,1,8.6485,0.4997261774370208
April,1,camp 3,Medium,728 x 90,ghi,1737,1.6859,17,0.8911,0,0.0,0.9786989061600461
April,1,camp 3,Medium,728 x 90,jkl,1852,0.617,9,0.4717,0,0.0,0.48596112311015116
April,1,camp 3,Medium,728 x 90,mno,174462,12.3332,707,37.055,1,136.5586,0.4052458415013011
April,1,camp 3,High,800 x 250,mno,2,0.0001,0,0.0,0,0.0,0.0
April,1,camp 3,Low,800 x 250,mno,1,0.0,0,0.0,0,0.0,0.0
April,2,camp 1,High,160 x 600,abc,2,0.005,0,0.0,0,0.0,0.0
April,2,camp 1,High,160 x 600,def,17332,19.7963,140,25.2734,26,1921.272,0.8077544426494345
April,2,camp 1,High,160 x 600,ghi,14288,26.2022,151,27.2622,59,3860.1421,1.0568309070548711
April,2,camp 1,High,160 x 600,mno,154658,180.7481,1509,272.4525,542,23994.6771,0.9757012246375876
April,2,camp 1,Low,160 x 600,def,341,0.039,0,0.0,0,0.0,0.0
April,2,camp 1,Low,160 x 600,ghi,10,0.0131,0,0.0,0,0.0,0.0
April,2,camp 1,Low,160 x 600,mno,2083,0.3635,3,0.5416,2,51.5584,0.14402304368698993
April,2,camp 1,Medium,160 x 600,def,2261,0.953,2,0.361,0,0.0,0.08845643520566121
April,2,camp 1,Medium,160 x 600,ghi,502,0.8465,3,0.5416,0,0.0,0.5976095617529881
April,2,camp 1,Medium,160 x 600,mno,17427,8.2093,159,28.7066,37,2403.4922,0.9123773454983646
April,2,camp 1,High,240 x 400,def,48847,43.9118,305,55.0681,43,3552.283,0.6243986324646345
April,2,camp 1,High,240 x 400,ghi,304804,275.3454,7767,1402.2994,2187,113046.5668,2.5481949055786672
April,2,camp 1,High,240 x 400,jkl,54447,24.8181,528,95.3277,175,8840.9398,0.9697503994710452
April,2,camp 1,High,240 x 400,mno,187529,312.1415,1633,294.836,672,31683.7408,0.8707986498088296
April,2,camp 1,Low,240 x 400,def,422,0.0556,1,0.1805,0,0.0,0.23696682464454977
April,2,camp 1,Low,240 x 400,ghi,940,0.7412,18,3.2498,3,126.8199,1.9148936170212765
April,2,camp 1,Low,240 x 400,jkl,314,0.1325,1,0.1805,0,0.0,0.3184713375796179
April,2,camp 1,Low,240 x 400,mno,1580,0.3519,3,0.5416,0,0.0,0.18987341772151897
April,2,camp 1,Medium,240 x 400,def,5354,1.8911,12,2.1665,1,13.3345,0.22413149047441167
April,2,camp 1,Medium,240 x 400,ghi,16728,14.406,436,78.7176,40,1973.808,2.6064084170253468
April,2,camp 1,Medium,240 x 400,jkl,3892,1.7273,43,7.7634,8,424.1517,1.1048304213771838
April,2,camp 1,Medium,240 x 400,mno,15017,9.845,118,21.3053,24,1376.4896,0.7857761203968836
April,2,camp 1,High,300 x 250,abc,6,0.0165,0,0.0,0,0.0,0.0
April,2,camp 1,High,300 x 250,def,41896,45.4333,277,50.0109,102,4162.0391,0.6611609700210044
April,2,camp 1,High,300 x 250,ghi,70071,46.7762,1325,239.2221,361,14883.7289,1.8909391902498893
April,2,camp 1,High,300 x 250,jkl,5132,2.8429,26,4.6941,13,971.9768,0.5066250974279034
April,2,camp 1,High,300 x 250,mno,235317,275.17,1844,332.9273,896,77490.5358,0.783623792586171
April,2,camp 1,Low,300 x 250,abc,1,0.0008,0,0.0,0,0.0,0.0
April,2,camp 1,Low,300 x 250,def,424,0.1294,3,0.5416,0,0.0,0.7075471698113208
April,2,camp 1,Low,300 x 250,ghi,216,0.1213,5,0.9027,0,0.0,2.314814814814815
April,2,camp 1,Low,300 x 250,jkl,12,0.0077,0,0.0,0,0.0,0.0
April,2,camp 1,Low,300 x 250,mno,2745,0.4702,6,1.0832,0,0.0,0.2185792349726776
April,2,camp 1,Medium,300 x 250,abc,1,0.002,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,300 x 250,def,4324,2.9404,22,3.9719,2,58.5481,0.5087881591119334
April,2,camp 1,Medium,300 x 250,ghi,3171,1.9555,99,17.8739,10,88.1188,3.122043519394513
April,2,camp 1,Medium,300 x 250,jkl,230,0.1307,1,0.1805,1,150.8711,0.43478260869565216
April,2,camp 1,Medium,300 x 250,mno,23404,11.9484,142,25.6373,14,520.8722,0.6067338916424543
April,2,camp 1,High,468 x 60,def,1076,0.5295,4,0.7221,0,0.0,0.37174721189591076
April,2,camp 1,High,468 x 60,ghi,350,0.1354,0,0.0,0,0.0,0.0
April,2,camp 1,High,468 x 60,jkl,9,0.0057,0,0.0,0,0.0,0.0
April,2,camp 1,High,468 x 60,mno,3432,1.7688,9,1.6259,17,1808.8476,0.26223776223776224
April,2,camp 1,Low,468 x 60,def,5,0.0004,0,0.0,0,0.0,0.0
April,2,camp 1,Low,468 x 60,mno,26,0.0016,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,468 x 60,def,86,0.0349,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,468 x 60,ghi,27,0.0104,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,468 x 60,mno,372,0.0785,0,0.0,0,0.0,0.0
April,2,camp 1,High,580 x 400,mno,45327,110.5201,889,160.5044,453,19132.9713,1.9613034173891941
April,2,camp 1,Low,580 x 400,mno,375,0.1191,5,0.9027,0,0.0,1.3333333333333335
April,2,camp 1,Medium,580 x 400,mno,3669,3.9015,48,8.6661,5,144.5778,1.3082583810302535
April,2,camp 1,High,670 x 90,def,4491,7.9513,49,8.8467,30,576.9186,1.0910710309507905
April,2,camp 1,High,670 x 90,ghi,16534,12.9019,135,24.3735,99,2985.5434,0.8164993347042457
April,2,camp 1,High,670 x 90,jkl,274,0.1868,1,0.1805,0,0.0,0.36496350364963503
April,2,camp 1,High,670 x 90,mno,16974,22.8296,146,26.3595,51,2221.0902,0.8601390361729704
April,2,camp 1,Low,670 x 90,def,39,0.0069,1,0.1805,0,0.0,2.564102564102564
April,2,camp 1,Low,670 x 90,ghi,21,0.0105,1,0.1805,0,0.0,4.761904761904762
April,2,camp 1,Low,670 x 90,mno,155,0.021,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,670 x 90,def,418,0.3983,9,1.6249,0,0.0,2.15311004784689
April,2,camp 1,Medium,670 x 90,ghi,995,0.6479,5,0.9027,0,0.0,0.5025125628140703
April,2,camp 1,Medium,670 x 90,jkl,29,0.0207,0,0.0,0,0.0,0.0
April,2,camp 1,Medium,670 x 90,mno,1494,0.7487,16,2.8887,1,241.2338,1.07095046854083
April,2,camp 1,High,728 x 90,abc,13,0.0176,0,0.0,0,0.0,0.0
April,2,camp 1,High,728 x 90,def,68761,76.9999,442,79.8017,130,7581.738,0.6428062419103853
April,2,camp 1,High,728 x 90,ghi,206356,266.9145,2910,525.3868,1064,47941.3027,1.4101843416232143
April,2,camp 1,High,728 x 90,jkl,23526,10.2019,176,31.7759,82,1995.7442,0.7481084757289808
April,2,camp 1,High,728 x 90,mno,362969,339.7693,2384,430.4202,912,44394.7214,0.6568054021142302
April,2,camp 1,Low,728 x 90,def,637,0.122,1,0.1805,0,0.0,0.15698587127158556
April,2,camp 1,Low,728 x 90,ghi,276,0.3279,4,0.7221,1,218.2788,1.4492753623188406
April,2,camp 1,Low,728 x 90,jkl,108,0.0422,0,0.0,0,0.0,0.0
April,2,camp 1,Low,728 x 90,mno,4194,0.6476,9,1.6249,4,230.4656,0.2145922746781116
April,2,camp 1,Medium,728 x 90,def,6857,3.4406,27,4.8747,6,167.133,0.39375820329590205
April,2,camp 1,Medium,728 x 90,ghi,9083,10.9614,116,20.9432,18,693.3314,1.2771110866453816
April,2,camp 1,Medium,728 x 90,jkl,1972,0.8353,22,3.9719,2,125.6464,1.1156186612576064
April,2,camp 1,Medium,728 x 90,mno,39528,17.6408,218,39.3588,42,1589.2214,0.5515077919449505
April,2,camp 1,High,800 x 250,mno,4,0.0038,0,0.0,0,0.0,0.0
April,2,camp 2,Low,160 x 600,def,6347,0.4525,19,0.735,0,0.0,0.2993540255238695
